1579654312.791469872 5 f2.taboola.map.fastly.net trc.taboola.com 29
1579654312.935296385 1 acuityplatform.com acuityplatform.com 299
1579654312.936325963 1 bcp.crwdcntrl.net bcp.crwdcntrl.net 59
1579654312.936325963 2 bcp.crwdcntrl.net bcp.crwdcntrl.net 59
1579654312.936325963 3 bcp.crwdcntrl.net bcp.crwdcntrl.net 59
1579654312.936325963 4 bcp.crwdcntrl.net bcp.crwdcntrl.net 59
1579654312.936325963 5 bcp.crwdcntrl.net bcp.crwdcntrl.net 59
1579654312.936325963 6 bcp.crwdcntrl.net bcp.crwdcntrl.net 59
1579654312.936325963 7 bcp.crwdcntrl.net bcp.crwdcntrl.net 59
1579654312.936325963 8 bcp.crwdcntrl.net bcp.crwdcntrl.net 59
1579654312.936522965 1 contextual.media.net star.media.net.edgekey.net 11892
1579654312.936522965 2 star.media.net.edgekey.net e607.d.akamaiedge.net 11901
1579654312.936522965 3 e607.d.akamaiedge.net contextual.media.net 19
1579654312.941638775 1 bh.contextweb.com ams-bh.contextweb.com 59
