1579794182.367754000 3 cdn-advert.smi2.net cdn-advert.smi2.net 498
1579794182.367754000 4 cdn-advert.smi2.net cdn-advert.smi2.net 498
1579794182.367754000 5 cdn-advert.smi2.net cdn-advert.smi2.net 498
1579794182.367754000 6 cdn-advert.smi2.net cdn-advert.smi2.net 498
1579794182.367754000 7 cdn-advert.smi2.net cdn-advert.smi2.net 498
1579794182.367754000 8 cdn-advert.smi2.net cdn-advert.smi2.net 498
1579794182.367754000 9 cdn-advert.smi2.net cdn-advert.smi2.net 498
1579794182.367754000 10 cdn-advert.smi2.net cdn-advert.smi2.net 498
1579794182.367754000 11 cdn-advert.smi2.net cdn-advert.smi2.net 498
1579794182.367754000 12 cdn-advert.smi2.net cdn-advert.smi2.net 498
1579794182.367754000 13 cdn-advert.smi2.net cdn-advert.smi2.net 498
1579794182.367754000 14 cdn-advert.smi2.net cdn-advert.smi2.net 498
1579794182.367754000 15 cdn-advert.smi2.net cdn-advert.smi2.net 498
1579794182.367754000 16 cdn-advert.smi2.net cdn-advert.smi2.net 498
1579794182.367754000 17 cdn-advert.smi2.net static6.smi2.net 498
1579794182.403001575 1 static5.smi2.net cdn-advert.smi2.net 472
1579794182.403001575 2 cdn-advert.smi2.net cdn-advert.smi2.net 507
1579794182.403001575 3 cdn-advert.smi2.net cdn-advert.smi2.net 507
1579794182.403001575 4 cdn-advert.smi2.net cdn-advert.smi2.net 507
1579794182.403001575 5 cdn-advert.smi2.net cdn-advert.smi2.net 507
1579794182.403001575 6 cdn-advert.smi2.net cdn-advert.smi2.net 507
1579794182.403001575 7 cdn-advert.smi2.net cdn-advert.smi2.net 507
1579794182.403001575 8 cdn-advert.smi2.net cdn-advert.smi2.net 507
1579794182.403001575 9 cdn-advert.smi2.net cdn-advert.smi2.net 507
1579794182.403001575 10 cdn-advert.smi2.net cdn-advert.smi2.net 507
1579794182.403001575 11 cdn-advert.smi2.net cdn-advert.smi2.net 507
1579794182.403001575 12 cdn-advert.smi2.net cdn-advert.smi2.net 507
1579794182.403001575 13 cdn-advert.smi2.net cdn-advert.smi2.net 507
1579794182.403001575 14 cdn-advert.smi2.net cdn-advert.smi2.net 507
1579794182.403001575 15 cdn-advert.smi2.net cdn-advert.smi2.net 507
1579794182.403001575 16 cdn-advert.smi2.net cdn-advert.smi2.net 507
1579794182.403001575 17 cdn-advert.smi2.net static5.smi2.net 507
1579794182.404401667 1 static7.smi2.net cdn-advert.smi2.net 282
1579794182.404401667 2 cdn-advert.smi2.net cdn-advert.smi2.net 282
1579794182.404401667 3 cdn-advert.smi2.net cdn-advert.smi2.net 282
1579794182.404401667 4 cdn-advert.smi2.net cdn-advert.smi2.net 282
1579794182.404401667 5 cdn-advert.smi2.net cdn-advert.smi2.net 282
1579794182.404401667 6 cdn-advert.smi2.net cdn-advert.smi2.net 282
1579794182.404401667 7 cdn-advert.smi2.net cdn-advert.smi2.net 282
1579794182.404401667 8 cdn-advert.smi2.net cdn-advert.smi2.net 282
1579794182.404401667 9 cdn-advert.smi2.net cdn-advert.smi2.net 282
1579794182.404401667 10 cdn-advert.smi2.net cdn-advert.smi2.net 282
1579794182.404401667 11 cdn-advert.smi2.net cdn-advert.smi2.net 282
1579794182.404401667 12 cdn-advert.smi2.net cdn-advert.smi2.net 282
1579794182.404401667 13 cdn-advert.smi2.net cdn-advert.smi2.net 282
1579794182.404401667 14 cdn-advert.smi2.net cdn-advert.smi2.net 282
1579794182.404401667 15 cdn-advert.smi2.net cdn-advert.smi2.net 282
1579794182.404401667 16 cdn-advert.smi2.net cdn-advert.smi2.net 282
1579794182.404401667 17 cdn-advert.smi2.net static7.smi2.net 282
1579794182.512275450 1 ysa-static.passport.yandex.ru ysa-static.passport.yandex.net 2830
1579794182.512275450 2 ysa-static.passport.yandex.net ysa-static.passport.yandex.ru 436
1579794183.002235854 1 pagead2.googlesyndication.com pagead46.l.doubleclick.net 111
1579794183.002235854 2 pagead46.l.doubleclick.net pagead2.googlesyndication.com 299
1579794183.011426124 1 a7.smi2.ru news.smi2.ru 52
1579794183.011426124 2 news.smi2.ru news.smi2.ru 52
1579794183.011426124 3 news.smi2.ru news.smi2.ru 52
1579794183.011426124 4 news.smi2.ru news.smi2.ru 52
1579794183.011426124 5 news.smi2.ru news.smi2.ru 52
1579794183.011426124 6 news.smi2.ru news.smi2.ru 52
1579794183.011426124 7 news.smi2.ru news.smi2.ru 52
1579794183.011426124 8 news.smi2.ru news.smi2.ru 52
1579794183.011426124 9 news.smi2.ru news.smi2.ru 52
1579794183.011426124 10 news.smi2.ru news.smi2.ru 52
1579794183.011426124 11 news.smi2.ru news.smi2.ru 52
1579794183.011426124 12 news.smi2.ru news.smi2.ru 52
1579794183.011426124 13 news.smi2.ru news.smi2.ru 52
1579794183.011426124 14 news.smi2.ru news.smi2.ru 52
1579794183.011426124 15 news.smi2.ru news.smi2.ru 52
1579794183.011426124 16 news.smi2.ru news.smi2.ru 52
